materials property curl diameter pitch
sample160 1.328019727 1.963495408 23 160
sample161 1.309011924 2.35619449 23 160
sample162 1.314491867 3.141592654 23 160
sample163 1.371790285 1.963495408 23 160
sample164 1.343467618 3.141592654 23 160
sample165 1.251690299 3.534291735 23 160
sample166 1.336093858 2.35619449 26 160
sample167 1.324345094 3.141592654 26 160
sample168 1.297613569 3.534291735 26 160
sample169 1.33043356 2.748893572 26 160
sample170 1.363891919 3.141592654 26 160
sample171 1.308090797 3.534291735 26 160
sample172 1.291213212 2.748893572 29 160
sample173 1.314795502 3.141592654 29 160
sample174 1.309760257 2.748893572 29 160
sample175 1.346107418 3.141592654 29 160
sample176 1.324501592 3.534291735 29 160
sample177 1.287726905 2.748893572 32 160
sample178 1.292750683 3.534291735 32 160
sample179 1.30874032 2.748893572 32 160
sample180 1.331140351 3.141592654 32 160
sample181 1.309795904 3.534291735 32 160
sample182 1.267104614 3.141592654 35 160
sample183 1.289311457 3.534291735 35 160
sample184 1.309782299 3.141592654 35 160
sample185 1.31174999 3.534291735 35 160
sample186 1.254454776 3.141592654 38 160
sample187 1.278822412 3.534291735 38 160
sample188 1.289254102 3.141592654 38 160
sample189 1.308528765 3.534291735 38 160
sample190 1.289832024 3.534291735 41 160
sample191 1.310200602 1.847995679 20 170
sample192 1.274438356 2.217594814 20 170
sample193 1.328666541 2.58719395 20 170
sample194 1.337414505 2.956793086 20 170
sample195 1.193649722 3.326392221 20 170
sample196 1.345685085 2.217594814 23 170
sample197 1.340711703 2.58719395 23 170
sample198 1.372718884 2.956793086 23 170
sample199 1.302694782 3.326392221 23 170
sample200 1.367097507 2.217594814 26 170
sample201 1.367462537 2.956793086 26 170
sample202 1.3331097 2.58719395 29 170
sample203 1.33518257 2.956793086 29 170
sample204 1.322034925 2.956793086 32 170
sample205 1.330941187 3.326392221 32 170
sample206 1.295802846 3.326392221 41 170
sample207 1.297892038 2.094395102 20 180
sample208 1.383255607 2.443460953 20 180
sample209 1.242103026 3.141592654 20 180
sample210 1.378146497 1.745329252 23 180
sample211 1.364098613 2.094395102 23 180
sample212 1.345774207 2.443460953 23 180
sample213 1.414094866 2.792526803 23 180
sample214 1.335480231 3.141592654 23 180
sample215 1.359502783 2.443460953 26 180
sample216 1.361347433 3.141592654 26 180
sample217 1.363101793 2.792526803 29 180
sample218 1.373896166 3.141592654 29 180
sample219 1.354442808 2.443460953 32 180
sample220 1.35456106 2.792526803 32 180
sample221 1.374006135 3.141592654 32 180
sample222 1.338743914 2.792526803 35 180
sample223 1.360752251 3.141592654 35 180
sample224 1.32076585 2.792526803 38 180
sample225 1.330123202 3.141592654 41 180
sample226 1.351556611 1.653469818 20 190
sample227 1.347864184 1.984163781 20 190
sample228 1.42087129 2.314857745 20 190
sample229 1.369752192 2.645551708 20 190
sample230 1.274295047 2.976245672 20 190
sample231 1.375448402 1.984163781 23 190
sample232 1.41017495 2.314857745 23 190
sample233 1.418061626 2.645551708 23 190
sample234 1.413962932 1.984163781 26 190
sample235 1.373421604 2.314857745 26 190
sample236 1.425418251 2.645551708 26 190
sample237 1.406853406 2.976245672 26 190
sample238 1.377656359 2.314857745 29 190
sample239 1.400092802 2.645551708 29 190
sample240 1.412630947 2.976245672 29 190
sample241 1.390842981 2.645551708 32 190
sample242 1.400681728 2.976245672 32 190
sample243 1.367557618 2.645551708 35 190
sample244 1.388273374 2.976245672 35 190
sample245 1.345548828 2.645551708 38 190
sample246 1.382422113 2.976245672 38 190
sample247 1.372922776 1.884955592 20 200
sample248 1.416544965 2.199114858 20 200
sample249 1.414820474 2.513274123 20 200
sample250 1.270228203 2.827433388 20 200
sample251 1.417399081 1.570796327 23 200
sample252 1.397916785 1.884955592 23 200
sample253 1.447050584 2.199114858 23 200
sample254 1.452413797 2.513274123 23 200
sample255 1.389819862 2.827433388 23 200
sample256 1.436600063 1.884955592 26 200
sample257 1.420549213 2.199114858 26 200
sample258 1.453066518 2.513274123 26 200
sample259 1.434502871 2.827433388 26 200
sample260 1.417766434 2.513274123 29 200
sample261 1.447654713 2.827433388 29 200
sample262 1.404276286 2.199114858 32 200
sample263 1.41653779 2.513274123 32 200
sample264 1.429559461 2.827433388 32 200
sample265 1.406422019 2.513274123 35 200
sample266 1.421355888 2.827433388 35 200
sample267 1.381375333 2.513274123 38 200
sample268 1.402858217 2.827433388 38 200
sample269 1.547181646 2.094395102 20 60
sample270 0.953586391 6.283185307 20 60
sample271 1.245338208 5.235987756 20 60
sample272 0.6100633 3.141592654 30 60
sample273 0.68266675 3.141592654 30 60
sample274 0.518534672 2.094395102 30 60
sample275 0.301172298 3.141592654 40 60
sample276 0.232573533 5.235987756 40 60
sample277 0.282682877 6.283185307 40 60
sample278 0.184123956 6.283185307 40 60
sample279 0.163546011 2.094395102 50 60
sample280 0.162235302 3.141592654 50 60
sample281 0.246814898 2.094395102 50 60
sample282 0.234162458 5.235987756 50 60
sample283 0.168277392 3.141592654 50 60
sample284 0.154440058 5.235987756 50 60
sample285 0.127474525 3.141592654 50 60
sample286 0.251157679 2.094395102 50 60
sample287 0.171077373 4.188790205 60 60
sample288 0.329878098 2.094395102 60 60
sample289 0.220238095 5.235987756 60 60
sample290 0.111008269 3.141592654 60 60
sample291 0.140511308 5.235987756 60 60
sample292 0.326976291 2.094395102 60 60
sample293 0.128619421 3.141592654 60 60
sample294 1.443352298 3.141592654 20 80
sample295 1.483251231 3.926990817 20 80
sample296 1.339557717 3.141592654 30 80
sample297 1.369749574 2.35619449 30 80
sample298 1.362132238 3.926990817 30 80
sample299 1.082993833 4.71238898 30 80
sample300 1.522943751 1.570796327 30 80
sample301 0.603483478 1.570796327 40 80
sample302 0.226435719 2.35619449 50 80
sample303 0.165254062 1.570796327 50 80
sample304 0.206020724 4.71238898 50 80
sample305 0.21092504 4.71238898 50 80
sample306 0.322693131 1.570796327 60 80
sample307 0.23493858 3.141592654 60 80
sample308 0.172882678 3.141592654 60 80
sample309 1.61534638 2.513274123 20 100
sample310 1.59711415 1.884955592 20 100
sample311 1.379044842 1.884955592 30 100
sample312 1.415827076 3.141592654 30 100
sample313 1.526309587 2.513274123 30 100
sample314 1.151824552 1.256637061 40 100
sample315 1.305478432 1.884955592 40 100
sample316 0.529842689 2.513274123 50 100
sample317 0.220330158 3.769911184 60 100
sample318 1.579912486 1.570796327 20 120
sample319 1.557526342 3.141592654 20 120
sample320 1.688323499 2.094395102 20 120
sample321 1.44472498 3.141592654 20 120
sample322 1.591468136 2.617993878 30 120
sample323 1.302227004 1.570796327 40 120
sample324 1.430471461 2.094395102 40 120
sample325 0.834795043 1.047197551 50 120
sample326 1.453637332 2.094395102 50 120
sample327 0.939556207 3.141592654 50 120
