materials property curl diameter pitch
sample697 1.749073426 1.963495408 20 160
sample698 1.803716056 0.785398163 20 160
sample699 1.780719049 1.178097245 20 160
sample700 1.804990261 1.570796327 20 160
sample701 1.765524346 1.963495408 20 160
sample702 1.616889376 1.570796327 30 160
sample703 1.641279204 1.963495408 30 160
sample704 1.628648579 2.35619449 30 160
sample705 1.70770158 0.785398163 30 160
sample706 1.679107197 1.570796327 30 160
sample707 1.673885692 2.35619449 30 160
sample708 1.464438564 1.570796327 40 160
sample709 1.531714434 2.35619449 40 160
sample710 1.389157052 1.178097245 40 160
sample711 1.534961271 1.570796327 40 160
sample712 1.578889584 1.963495408 40 160
sample713 1.125127753 0.785398163 50 160
sample714 1.218238929 1.178097245 50 160
sample715 1.453854921 2.35619449 50 160
sample716 1.227749057 0.785398163 50 160
sample717 1.424920061 1.570796327 50 160
sample718 1.486274377 1.963495408 50 160
sample719 1.510142588 2.35619449 50 160
sample720 1.122062956 1.178097245 60 160
sample721 1.292136683 1.570796327 60 160
sample722 1.355113807 1.963495408 60 160
sample723 0.837865977 0.785398163 60 160
sample724 1.167730877 1.178097245 60 160
sample725 1.43920738 1.963495408 60 160
sample726 1.44971935 2.35619449 60 160
sample727 1.693740451 0.698131701 20 180
sample728 1.783365636 1.047197551 20 180
sample729 1.743944063 2.094395102 20 180
sample730 1.522911858 1.047197551 30 180
sample731 1.675754219 1.396263402 30 180
sample732 1.704000876 1.745329252 30 180
sample733 1.677842783 2.094395102 30 180
sample734 1.534770315 0.698131701 40 180
sample735 1.369729325 1.047197551 40 180
sample736 1.538479932 1.396263402 40 180
sample737 1.600906891 2.094395102 40 180
sample738 1.156806311 0.698131701 50 180
sample739 1.269092597 1.047197551 50 180
sample740 1.506355732 1.745329252 50 180
sample741 1.524045896 2.094395102 50 180
sample742 0.804772625 0.698131701 60 180
sample743 1.433850814 1.745329252 60 180
sample744 1.623177712 0.628318531 20 200
sample745 1.822957583 0.942477796 20 200
sample746 1.830787763 1.256637061 20 200
sample747 1.807107298 1.570796327 20 200
sample748 1.768985983 1.884955592 20 200
sample749 1.597283624 0.628318531 30 200
sample750 1.573343319 0.942477796 30 200
sample751 1.727207587 1.256637061 30 200
sample752 1.739091774 1.884955592 30 200
sample753 1.189457343 0.628318531 50 200
sample754 1.290784283 0.942477796 50 200
sample755 1.460289927 1.256637061 50 200
sample756 1.52340055 1.570796327 50 200
sample757 0.817460317 0.628318531 60 200
sample758 1.183127127 0.942477796 60 200
sample759 1.342236803 1.256637061 60 200
sample760 1.445718119 1.570796327 60 200
sample761 1.482438479 1.884955592 60 200
sample762 1.009991079 5.235987756 20 60
sample763 1.069956371 4.487989505 20 70
sample764 0.582061406 8.078381109 20 70
sample765 1.046746337 4.487989505 23 70
sample766 0.851741556 4.71238898 20 80
sample767 0.755417335 6.283185307 20 80
sample768 0.643407024 7.068583471 23 80
sample769 0.898860706 4.71238898 23 80
sample770 0.883856832 5.497787144 23 80
sample771 0.95292127 4.188790205 23 90
sample772 0.757399321 6.283185307 29 90
sample773 0.844275242 5.654866776 23 100
sample774 0.872250919 5.654866776 23 100
sample775 0.906475772 5.026548246 32 100
sample776 1.175838791 2.855993321 20 110
sample777 1.118240764 3.427191986 20 110
sample778 1.118569065 3.427191986 23 110
sample779 0.920066082 5.140787979 23 110
sample780 1.157420414 3.99839065 23 110
sample781 1.015182941 3.99839065 26 110
sample782 1.072558886 4.569589314 29 110
sample783 1.041581135 5.140787979 29 110
sample784 0.95819017 5.140787979 32 110
sample785 1.083549744 3.99839065 32 110
sample786 0.948344262 5.140787979 35 110
sample787 1.104017305 4.188790205 20 120
sample788 1.116687279 4.188790205 20 120
sample789 1.195198026 3.141592654 23 120
sample790 1.251859302 2.617993878 23 120
sample791 1.172114587 4.188790205 23 120
sample792 1.022215078 4.71238898 23 120
sample793 1.092540507 3.665191429 26 120
sample794 1.090528669 4.188790205 26 120
sample795 1.157025483 4.188790205 26 120
sample796 1.072540121 3.665191429 29 120
sample797 1.078642882 3.665191429 32 120
sample798 1.101223288 4.71238898 32 120
sample799 1.101474854 4.71238898 38 120
sample800 1.216735738 2.416609734 20 130
sample801 1.156222058 3.866575574 20 130
sample802 1.157761001 2.89993168 20 130
sample803 1.230124975 3.383253627 20 130
sample804 1.283415363 2.416609734 20 130
sample805 1.156277436 3.383253627 23 130
sample806 1.171964233 3.866575574 23 130
sample807 1.222253847 3.383253627 23 130
sample808 1.087459449 4.34989752 23 130
sample809 1.120022834 4.34989752 26 130
sample810 1.209085229 3.383253627 26 130
sample811 1.252492137 2.89993168 26 130
sample812 1.181927757 4.34989752 29 130
sample813 1.125465554 3.866575574 35 130
sample814 1.196894819 3.866575574 35 130
sample815 1.185178936 4.34989752 35 130
sample816 1.181598888 4.34989752 38 130
sample817 1.125190933 4.34989752 41 130
sample818 1.164166046 4.34989752 41 130
sample819 1.159914044 2.692793703 20 140
sample820 1.260584027 3.141592654 20 140
sample821 1.216089551 3.590391604 20 140
sample822 1.266098802 2.243994753 23 140
sample823 1.205166015 3.141592654 26 140
sample824 1.255144836 3.141592654 26 140
sample825 1.275800259 3.590391604 26 140
sample826 1.200910144 3.590391604 29 140
sample827 1.238458353 3.141592654 29 140
sample828 1.19328096 3.590391604 32 140
sample829 1.257373314 3.590391604 32 140
sample830 1.192475692 4.039190555 38 140
