     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
        90    0.1138563491E+01    0.1105898209E+01   -0.4191708936E+01    0.7530132286E+02   -0.2556402328E-02
        91    0.1255388027E+01    0.1182488857E+01   -0.4200858185E+01    0.6263434826E+02   -0.2777216274E-02
        92    0.1159797050E+01    0.1105898209E+01   -0.4191708936E+01    0.7530132286E+02   -0.2556402328E-02
        93    0.1142003735E+01    0.1143509649E+01   -0.4084322929E+01    0.5885846792E+02   -0.1545059742E-02
        94    0.1190420141E+01    0.1223984952E+01   -0.4093957913E+01    0.4586718352E+02   -0.1829032203E-02
        95    0.1206571952E+01    0.1143509649E+01   -0.4084322929E+01    0.5885846792E+02   -0.1545059742E-02
        96    0.1137497746E+01    0.1172472400E+01   -0.3960728712E+01    0.5508258757E+02   -0.2422680163E-02
        97    0.1173098699E+01    0.1094772061E+01   -0.3950432095E+01    0.6792198002E+02   -0.2201866217E-02
        98    0.1248321018E+01    0.1172472400E+01   -0.3960728712E+01    0.5508258757E+02   -0.2422680163E-02
        99    0.1128982925E+01    0.1071487177E+01   -0.3817877499E+01    0.6423230860E+02   -0.1542306012E-02
       100    0.1170611891E+01    0.1071487177E+01   -0.3817877499E+01    0.6423230860E+02   -0.1542306012E-02
       101    0.1112717795E+01    0.1164038166E+01   -0.3687305520E+01    0.4753082687E+02   -0.2281068001E-02
       102    0.1139969414E+01    0.1085156303E+01   -0.3675417818E+01    0.6054263718E+02   -0.2060254054E-02
       103    0.1287188650E+01    0.1505243350E+01   -0.4606606846E+01    0.2934590374E+02   -0.5180123450E-02
       104    0.1068982026E+01    0.1183367090E+01   -0.4578233802E+01    0.7991395787E+02   -0.3766097481E-02
       105    0.1133411985E+01    0.1087038691E+01   -0.4480754175E+01    0.7617123480E+02   -0.6937707404E-03
       106    0.1267757798E+01    0.1322147848E+01   -0.4502997284E+01    0.3836898137E+02   -0.1577449714E-02
       107    0.1229972086E+01    0.1113706926E+01   -0.4271942973E+01    0.6868578866E+02   -0.1315561875E-02
       108    0.1186147186E+01    0.1144283158E+01   -0.4159412698E+01    0.6494306560E+02   -0.2193182297E-02
       109    0.1236144088E+01    0.1200436769E+01   -0.4049583016E+01    0.4846548860E+02   -0.1754497776E-02
       110    0.1226436247E+01    0.1217580405E+01   -0.3923756127E+01    0.4462992515E+02   -0.2272445818E-02
       111    0.1180095923E+01    0.1124375756E+01   -0.3778848539E+01    0.5371489639E+02   -0.1629252824E-02
       112    0.1209179578E+01    0.1124375756E+01   -0.3778848539E+01    0.5371489639E+02   -0.1629252824E-02
       113    0.1277910168E+01    0.1539967451E+01   -0.4760815317E+01    0.2748334580E+02   -0.5173345733E-02
       114    0.1261313025E+01    0.1371326237E+01   -0.4748462614E+01    0.5302477322E+02   -0.4264145673E-02
       115    0.1313990836E+01    0.1539967451E+01   -0.4760815317E+01    0.2748334580E+02   -0.5173345733E-02
       116    0.1253258462E+01    0.1451948064E+01   -0.4754646989E+01    0.4048142373E+02   -0.4642957270E-02
       117    0.1318586076E+01    0.1371326237E+01   -0.4748462614E+01    0.5302477322E+02   -0.4264145673E-02
       118    0.1265138072E+01    0.1295326904E+01   -0.4742262088E+01    0.6528391748E+02   -0.3980069897E-02
       119    0.1131022211E+01    0.1222408353E+01   -0.4736045305E+01    0.7735359154E+02   -0.3759151586E-02
       120    0.1293577982E+01    0.1448557304E+01   -0.4670886960E+01    0.2305095131E+02   -0.2101018992E-02
       121    0.1282379401E+01    0.1359219712E+01   -0.4664478338E+01    0.3628776166E+02   -0.1570630529E-02
       122    0.1246500173E+01    0.1277644936E+01   -0.4658052058E+01    0.4900163430E+02   -0.1191818933E-02
       123    0.1288522647E+01    0.1200920836E+01   -0.4651607997E+01    0.6138867092E+02   -0.9077431563E-03
       124    0.1199614068E+01    0.1127429548E+01   -0.4645146032E+01    0.7355781683E+02   -0.6868248457E-03
       125    0.1340287634E+01    0.1448557304E+01   -0.4670886960E+01    0.2305095131E+02   -0.2101018992E-02
       126    0.1304671229E+01    0.1359219712E+01   -0.4664478338E+01    0.3628776166E+02   -0.1570630529E-02
       127    0.1306825712E+01    0.1427215148E+01   -0.4570681936E+01    0.3209409958E+02   -0.3424578197E-02
       128    0.1248603488E+01    0.1344683352E+01   -0.4563988618E+01    0.4497849538E+02   -0.3045766600E-02
       129    0.1278199752E+01    0.1267230371E+01   -0.4557275609E+01    0.5749342437E+02   -0.2761690824E-02
       130    0.1249384501E+01    0.1193162188E+01   -0.4550542765E+01    0.6976204211E+02   -0.2540772513E-02
       131    0.1323635863E+01    0.1427215148E+01   -0.4570681936E+01    0.3209409958E+02   -0.3424578197E-02
       132    0.1319588715E+01    0.1267230371E+01   -0.4557275609E+01    0.5749342437E+02   -0.2761690824E-02
       133    0.1258877043E+01    0.1193162188E+01   -0.4550542765E+01    0.6976204211E+02   -0.2540772513E-02
       134    0.1247163425E+01    0.1310012151E+01   -0.4465879335E+01    0.4095535646E+02   -0.1813610068E-02
       135    0.1251040859E+01    0.1231825442E+01   -0.4458867439E+01    0.5359817781E+02   -0.1529534291E-02
       136    0.1257726646E+01    0.1157175458E+01   -0.4451833421E+01    0.6596626739E+02   -0.1308615980E-02
       137    0.1276734016E+01    0.1310012151E+01   -0.4465879335E+01    0.4095535646E+02   -0.1813610068E-02
       138    0.1296671171E+01    0.1231825442E+01   -0.4458867439E+01    0.5359817781E+02   -0.1529534291E-02
       139    0.1279163675E+01    0.1157175458E+01   -0.4451833421E+01    0.6596626739E+02   -0.1308615980E-02
       140    0.1250650922E+01    0.1343695380E+01   -0.4363258913E+01    0.3693221754E+02   -0.2691230489E-02
       141    0.1243627711E+01    0.1264769170E+01   -0.4355912475E+01    0.4970293126E+02   -0.2407154713E-02
       142    0.1243441192E+01    0.1189531541E+01   -0.4348541173E+01    0.6217049268E+02   -0.2186236402E-02
       143    0.1279494578E+01    0.1343695380E+01   -0.4363258913E+01    0.3693221754E+02   -0.2691230489E-02
       144    0.1273794446E+01    0.1189531541E+01   -0.4348541173E+01    0.6217049268E+02   -0.2186236402E-02
       145    0.1223983330E+01    0.1246550345E+01   -0.4247846066E+01    0.4580768470E+02   -0.1747594508E-02
       146    0.1278853304E+01    0.1246550345E+01   -0.4247846066E+01    0.4580768470E+02   -0.1747594508E-02
       147    0.1264029673E+01    0.1170718015E+01   -0.4240093908E+01    0.5837471796E+02   -0.1526676197E-02
       148    0.1237773687E+01    0.1189514864E+01   -0.4125795893E+01    0.5457894325E+02   -0.2044624240E-02
       149    0.1259736077E+01    0.1265950529E+01   -0.4133982245E+01    0.4191243815E+02   -0.2265542550E-02
       150    0.1265410494E+01    0.1189514864E+01   -0.4125795893E+01    0.5457894325E+02   -0.2044624240E-02
       151    0.1230637042E+01    0.1176436370E+01   -0.4004787784E+01    0.5078316853E+02   -0.1622306930E-02
       152    0.1301933776E+01    0.1572642828E+01   -0.4905373871E+01    0.2571921968E+02   -0.5167819764E-02
       153    0.1219972977E+01    0.1485379238E+01   -0.4899927883E+01    0.3859789962E+02   -0.4637401803E-02
       154    0.1292750945E+01    0.1405676285E+01   -0.4894469763E+01    0.5099153593E+02   -0.4258560469E-02
       155    0.1297214659E+01    0.1330697989E+01   -0.4888999442E+01    0.6308201997E+02   -0.3974454717E-02
       156    0.1156631073E+01    0.1258868800E+01   -0.4883516852E+01    0.7497040246E+02   -0.3753506189E-02
       157    0.1284347135E+01    0.1485379238E+01   -0.4899927883E+01    0.3859789962E+02   -0.4637401803E-02
       158    0.1330274438E+01    0.1405676285E+01   -0.4894469763E+01    0.5099153593E+02   -0.4258560469E-02
       159    0.1167516683E+01    0.1258868800E+01   -0.4883516852E+01    0.7497040246E+02   -0.3753506189E-02
       160    0.1328019727E+01    0.1482612572E+01   -0.4820808169E+01    0.2119133222E+02   -0.2095493024E-02
       161    0.1309011924E+01    0.1393953135E+01   -0.4815169105E+01    0.3432466008E+02   -0.1565075062E-02
       162    0.1314491867E+01    0.1237503095E+01   -0.4803851182E+01    0.5912709031E+02   -0.9021279767E-03
       163    0.1371790285E+01    0.1482612572E+01   -0.4820808169E+01    0.2119133222E+02   -0.2095493024E-02
       164    0.1343467618E+01    0.1237503095E+01   -0.4803851182E+01    0.5912709031E+02   -0.9021279767E-03
       165    0.1251690299E+01    0.1165073528E+01   -0.4798172167E+01    0.7112157610E+02   -0.6811794480E-03
       166    0.1336093858E+01    0.1463337255E+01   -0.4727316491E+01    0.3005142053E+02   -0.3419022730E-02
       167    0.1324345094E+01    0.1305112489E+01   -0.4715572421E+01    0.5517216065E+02   -0.2756075644E-02
       168    0.1297613569E+01    0.1232079533E+01   -0.4709678385E+01    0.6727274973E+02   -0.2535127115E-02
       169    0.1330433560E+01    0.1381619062E+01   -0.4721451759E+01    0.4280883957E+02   -0.3040181396E-02
       170    0.1363891919E+01    0.1305112489E+01   -0.4715572421E+01    0.5517216065E+02   -0.2756075644E-02
       171    0.1308090797E+01    0.1232079533E+01   -0.4709678385E+01    0.6727274973E+02   -0.2535127115E-02
       172    0.1291213212E+01    0.1348386792E+01   -0.4629972935E+01    0.3871749139E+02   -0.1808024864E-02
       173    0.1314795502E+01    0.1271111132E+01   -0.4623858513E+01    0.5121723099E+02   -0.1523919111E-02
       174    0.1309760257E+01    0.1348386792E+01   -0.4629972935E+01    0.3871749139E+02   -0.1808024864E-02
       175    0.1346107418E+01    0.1271111132E+01   -0.4623858513E+01    0.5121723099E+02   -0.1523919111E-02
       176    0.1324501592E+01    0.1197471293E+01   -0.4617727877E+01    0.6342392337E+02   -0.1302970583E-02
       177    0.1287726905E+01    0.1383629717E+01   -0.4534728925E+01    0.3462614321E+02   -0.2685645285E-02
       178    0.1292750683E+01    0.1231330109E+01   -0.4521961914E+01    0.5957509701E+02   -0.2180591004E-02
       179    0.1308740320E+01    0.1383629717E+01   -0.4534728925E+01    0.3462614321E+02   -0.2685645285E-02
       180    0.1331140351E+01    0.1305580921E+01   -0.4528354418E+01    0.4726230134E+02   -0.2401539533E-02
       181    0.1309795904E+01    0.1231330109E+01   -0.4521961914E+01    0.5957509701E+02   -0.2180591004E-02
       182    0.1267104614E+01    0.1289034440E+01   -0.4428642470E+01    0.4330737168E+02   -0.1741979328E-02
       183    0.1289311457E+01    0.1214167817E+01   -0.4421958215E+01    0.5572627064E+02   -0.1521030800E-02
       184    0.1309782299E+01    0.1289034440E+01   -0.4428642470E+01    0.4330737168E+02   -0.1741979328E-02
       185    0.1311749990E+01    0.1214167817E+01   -0.4421958215E+01    0.5572627064E+02   -0.1521030800E-02
       186    0.1254454776E+01    0.1310283916E+01   -0.4324226105E+01    0.3935244202E+02   -0.2259927371E-02
       187    0.1278822412E+01    0.1234795696E+01   -0.4317214358E+01    0.5187744428E+02   -0.2038978842E-02
       188    0.1289254102E+01    0.1310283916E+01   -0.4324226105E+01    0.3935244202E+02   -0.2259927371E-02
       189    0.1308528765E+01    0.1234795696E+01   -0.4317214358E+01    0.5187744428E+02   -0.2038978842E-02
       190    0.1289832024E+01    0.1223769189E+01   -0.4207125250E+01    0.4802861792E+02   -0.1616661532E-02
       191    0.1310200602E+01    0.1603556174E+01   -0.5041678342E+01    0.2404041513E+02   -0.5163254292E-02
       192    0.1274438356E+01    0.1516936499E+01   -0.5036826827E+01    0.3681676137E+02   -0.4632814877E-02
       193    0.1328666541E+01    0.1438040357E+01   -0.5031965947E+01    0.4907774879E+02   -0.4253951937E-02
       194    0.1337414505E+01    0.1363970850E+01   -0.5027095659E+01    0.6101663691E+02   -0.3969824425E-02
       195    0.1193649722E+01    0.1293118590E+01   -0.5022215915E+01    0.7274079215E+02   -0.3748853982E-02
       196    0.1345685085E+01    0.1426690798E+01   -0.4956725276E+01    0.3246394436E+02   -0.1560488137E-02
       197    0.1340711703E+01    0.1346733351E+01   -0.4951705783E+01    0.4491819135E+02   -0.1181625197E-02
       198    0.1372718884E+01    0.1271861319E+01   -0.4946676093E+01    0.5700202415E+02   -0.8974976844E-03
       199    0.1302694782E+01    0.1200379009E+01   -0.4941636153E+01    0.6883891414E+02   -0.6765272411E-03
       200    0.1367097507E+01    0.1497322943E+01   -0.4873947599E+01    0.2811112734E+02   -0.3414435804E-02
       201    0.1367462537E+01    0.1340625212E+01   -0.4863553077E+01    0.5298741139E+02   -0.2751445352E-02
       202    0.1333109700E+01    0.1384342128E+01   -0.4782878906E+01    0.3659907646E+02   -0.1803416331E-02
       203    0.1335182570E+01    0.1307858061E+01   -0.4777487270E+01    0.4897279863E+02   -0.1519288819E-02
       204    0.1322034925E+01    0.1343654697E+01   -0.4688203507E+01    0.4495818587E+02   -0.2396909241E-02
       205    0.1330941187E+01    0.1270267432E+01   -0.4682591519E+01    0.5713328011E+02   -0.2175938798E-02
       206    0.1295802846E+01    0.1267354091E+01   -0.4391194645E+01    0.4542764607E+02   -0.1612009325E-02
       207    0.1297892038E+01    0.1546864387E+01   -0.5166470721E+01    0.3512511538E+02   -0.4628983009E-02
       208    0.1383255607E+01    0.1468679258E+01   -0.5162107924E+01    0.4726836929E+02   -0.4250104059E-02
       209    0.1242103026E+01    0.1325451244E+01   -0.5153360139E+01    0.7064542026E+02   -0.3744973782E-02
       210    0.1378146497E+01    0.1545330227E+01   -0.5094915742E+01    0.1771731403E+02   -0.2087111594E-02
       211    0.1364098613E+01    0.1457702434E+01   -0.5090429378E+01    0.3069272089E+02   -0.1556656268E-02
       212    0.1345774207E+01    0.1378399473E+01   -0.5085935091E+01    0.4304060259E+02   -0.1177777319E-02
       213    0.1414094866E+01    0.1304299047E+01   -0.5081432847E+01    0.5499628100E+02   -0.8936336967E-03
       214    0.1335480231E+01    0.1233666547E+01   -0.5076922612E+01    0.6669049060E+02   -0.6726470410E-03
       215    0.1359502783E+01    0.1449049891E+01   -0.5007409535E+01    0.3881283589E+02   -0.3031724986E-02
       216    0.1361347433E+01    0.1302808657E+01   -0.4998111385E+01    0.6273556095E+02   -0.2526594708E-02
       217    0.1363101793E+01    0.1342440643E+01   -0.4921541605E+01    0.4684768927E+02   -0.1515424831E-02
       218    0.1373896166E+01    0.1270480556E+01   -0.4916733121E+01    0.5878063129E+02   -0.1294438176E-02
       219    0.1354442808E+01    0.1456055963E+01   -0.4842512115E+01    0.3035730248E+02   -0.2677188875E-02
       220    0.1354561060E+01    0.1379413078E+01   -0.4837545160E+01    0.4277339340E+02   -0.2393045253E-02
       221    0.1374006135E+01    0.1306786030E+01   -0.4832567985E+01    0.5482570163E+02   -0.2172058597E-02
       222    0.1338743914E+01    0.1365561085E+01   -0.4750525862E+01    0.3869909753E+02   -0.1733485048E-02
       223    0.1360752251E+01    0.1292264548E+01   -0.4745364376E+01    0.5087077197E+02   -0.1512498393E-02
       224    0.1320765850E+01    0.1389730722E+01   -0.4660196121E+01    0.3462480167E+02   -0.2251433091E-02
       225    0.1330123202E+01    0.1307876535E+01   -0.4560634584E+01    0.4296091265E+02   -0.1608129125E-02
       226    0.1351556611E+01    0.1660966902E+01   -0.5293697625E+01    0.2089763044E+02   -0.5156215951E-02
       227    0.1347864184E+01    0.1575360968E+01   -0.5289761130E+01    0.3351227425E+02   -0.4625748625E-02
       228    0.1420871290E+01    0.1497804028E+01   -0.5285818767E+01    0.4555092879E+02   -0.4246857607E-02
       229    0.1369752192E+01    0.1425277353E+01   -0.5281870515E+01    0.5722958996E+02   -0.3962701848E-02
       230    0.1274295047E+01    0.1356103867E+01   -0.5277916351E+01    0.6866825562E+02   -0.3741702988E-02
       231    0.1375448402E+01    0.1487204633E+01   -0.5217297381E+01    0.2900030229E+02   -0.1553421884E-02
       232    0.1410174950E+01    0.1408472356E+01   -0.5213244618E+01    0.4125495282E+02   -0.1174530866E-02
       233    0.1418061626E+01    0.1335059641E+01   -0.5209185543E+01    0.5309561099E+02   -0.8903751079E-03
       234    0.1413962932E+01    0.1560024133E+01   -0.5142762778E+01    0.2448833034E+02   -0.3407369552E-02
       235    0.1373421604E+01    0.1480115213E+01   -0.5138591547E+01    0.3695897686E+02   -0.3028478533E-02
       236    0.1425418251E+01    0.1405815144E+01   -0.5134413532E+01    0.4896163202E+02   -0.2744322775E-02
       237    0.1406853406E+01    0.1335253941E+01   -0.5130228706E+01    0.6065229301E+02   -0.2523323915E-02
       238    0.1377656359E+01    0.1450341690E+01   -0.5061703955E+01    0.3266300089E+02   -0.1796322001E-02
       239    0.1400092802E+01    0.1375152792E+01   -0.5057397886E+01    0.4482765305E+02   -0.1512166243E-02
       240    0.1412630947E+01    0.1303895585E+01   -0.5053084471E+01    0.5664431170E+02   -0.1291167382E-02
       241    0.1390842981E+01    0.1413183422E+01   -0.4977962321E+01    0.4069367408E+02   -0.2389786664E-02
       242    0.1400681728E+01    0.1341228533E+01   -0.4973509961E+01    0.5263633039E+02   -0.2168787804E-02
       243    0.1367557618E+01    0.1400454929E+01   -0.4895907290E+01    0.3655969511E+02   -0.1730226459E-02
       244    0.1388273374E+01    0.1327800455E+01   -0.4891304226E+01    0.4862834909E+02   -0.1509227599E-02
       245    0.1345548828E+01    0.1425823139E+01   -0.4811005538E+01    0.3242571614E+02   -0.2248174502E-02
       246    0.1382422113E+01    0.1352466904E+01   -0.4806238335E+01    0.4462036778E+02   -0.2027175642E-02
       247    0.1372922776E+01    0.1602589135E+01   -0.5407431975E+01    0.3196928933E+02   -0.4622993323E-02
       248    0.1416544965E+01    0.1525588083E+01   -0.5403848253E+01    0.4391498719E+02   -0.4244093066E-02
       249    0.1414820474E+01    0.1453719009E+01   -0.5400259771E+01    0.5548174468E+02   -0.3959928023E-02
       250    0.1270228203E+01    0.1385270996E+01   -0.5396666514E+01    0.6679587527E+02   -0.3738919831E-02
       251    0.1417399081E+01    0.1602307773E+01   -0.5341821769E+01    0.1450742764E+02   -0.2081143102E-02
       252    0.1397916785E+01    0.1515374237E+01   -0.5338149382E+01    0.2737773989E+02   -0.1550666583E-02
